sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinus_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,Ecological Notes,Processing Notes
002_GEM_3_Chlamax_30m-1,0,0,0,0,1,19,2,202210,20221013,DL,1,GEMCAP,1,CTD,1,30,1000,800 - 1000,81.2 53.9,2210RL_002,2,3,34.14325333,-119.4080033,,
002_GEM_3_Chlamax_30m-2,0,0,0,0,1,19,3,202210,20221013,DL,1,GEMCAP,1,CTD,1,30,1000,800 - 1000,81.2 53.9,2210RL_002,2,3,34.14325333,-119.4080033,,
002_GEM_5_10m,0,0,0,0,1,15,1,202210,20221013,DL,1,GEMCAP,1,CTD,1,10,900,800 - 1000,81.2 53.9,2210RL_002,2,5,34.14325333,-119.4080033,,
002_GEM_5_10m-1,0,0,0,0,1,15,2,202210,20221013,DL,1,GEMCAP,1,CTD,1,10,900,800 - 1000,81.2 53.9,2210RL_002,2,5,34.14325333,-119.4080033,,
002_GEM_5_10m-2,0,0,0,0,1,15,3,202210,20221013,DL,1,GEMCAP,1,CTD,1,10,900,800 - 1000,81.2 53.9,2210RL_002,2,5,34.14325333,-119.4080033,,
002_Win_2_90m_01,0,0,0,0,1,24,1,202210,20221013,DL,1,RREAS,2,CTD,1,90,2000,1400 - 2000,81.2 53.9,2210RL_002,2,2,34.14325333,-119.4080033,,
002_Win_2_90m_01-1,1,0,1,15,1,24,2,202210,20221013,DL,1,RREAS,2,CTD,1,90,2000,1400 - 2000,81.2 53.9,2210RL_002,2,2,34.14325333,-119.4080033,,
002_Win_2_90m_01-2,0,0,0,0,1,24,3,202210,20221013,DL,1,RREAS,2,CTD,1,90,2000,1400 - 2000,81.2 53.9,2210RL_002,2,2,34.14325333,-119.4080033,,
002_Win_2_90m_03,0,0,0,0,2,25,1,202210,20221013,DL,1,RREAS,2,CTD,1,90,1800,1400 - 2000,81.2 53.9,2210RL_002,2,2,34.14325333,-119.4080033,,
002_Win_2_90m_03-2,0,0,0,0,2,25,2,202210,20221013,DL,1,RREAS,2,CTD,1,90,1800,1400 - 2000,81.2 53.9,2210RL_002,2,2,34.14325333,-119.4080033,,
002_Win_2_90m_03-3,0,0,0,0,2,25,3,202210,20221013,DL,1,RREAS,2,CTD,1,90,1800,1400 - 2000,81.2 53.9,2210RL_002,2,2,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_01,0,0,0,0,1,20,1,202210,20221013,DL,1,RREAS,2,CTD,1,30,2000,1400 - 2000,81.2 53.9,2210RL_002,2,4,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_01-1,0,0,0,0,1,20,2,202210,20221013,DL,1,RREAS,2,CTD,1,30,2000,1400 - 2000,81.2 53.9,2210RL_002,2,4,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_01-2,0,0,0,0,1,20,3,202210,20221013,DL,1,RREAS,2,CTD,1,30,2000,1400 - 2000,81.2 53.9,2210RL_002,2,4,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_02,0,0,0,0,2,21,1,202210,20221013,DL,1,RREAS,2,CTD,1,30,2000,1400 - 2000,81.2 53.9,2210RL_002,2,4,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_02-2,0,0,0,0,2,21,2,202210,20221013,DL,1,RREAS,2,CTD,1,30,2000,1400 - 2000,81.2 53.9,2210RL_002,2,4,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_02-3,0,0,0,0,2,21,3,202210,20221013,DL,1,RREAS,2,CTD,1,30,2000,1400 - 2000,81.2 53.9,2210RL_002,2,4,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_03,0,0,0,0,3,22,1,202210,20221013,DL,1,RREAS,2,CTD,1,30,1400,1400 - 2000,81.2 53.9,2210RL_002,2,4,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_03-2,0,0,0,0,3,22,2,202210,20221013,DL,1,RREAS,2,CTD,1,30,1400,1400 - 2000,81.2 53.9,2210RL_002,2,4,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_03-3,0,0,0,0,3,22,3,202210,20221013,DL,1,RREAS,2,CTD,1,30,1400,1400 - 2000,81.2 53.9,2210RL_002,2,4,34.14325333,-119.4080033,,
002_Win_6_10m_01,0,0,0,0,1,16,1,202210,20221013,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,81.2 53.9,2210RL_002,2,6,34.14325333,-119.4080033,,
002_Win_6_10m_01-1,0,0,0,0,1,16,2,202210,20221013,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,81.2 53.9,2210RL_002,2,6,34.14325333,-119.4080033,,
002_Win_6_10m_01-2,0,0,0,0,1,16,3,202210,20221013,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,81.2 53.9,2210RL_002,2,6,34.14325333,-119.4080033,,
002_Win_6_10m_02,0,0,0,0,2,17,1,202210,20221013,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,81.2 53.9,2210RL_002,2,6,34.14325333,-119.4080033,,
002_Win_6_10m_02-2,1,0,1,58601,2,17,2,202210,20221013,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,81.2 53.9,2210RL_002,2,6,34.14325333,-119.4080033,,
002_Win_6_10m_02-3,0,1,1,0,2,17,3,202210,20221013,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,81.2 53.9,2210RL_002,2,6,34.14325333,-119.4080033,,
002_Win_6_10m_03,0,0,0,0,3,18,1,202210,20221013,DL,1,RREAS,2,CTD,1,10,1500,1400 - 2000,81.2 53.9,2210RL_002,2,6,34.14325333,-119.4080033,,
002_Win_6_10m_03-2,0,0,0,0,3,18,2,202210,20221013,DL,1,RREAS,2,CTD,1,10,1500,1400 - 2000,81.2 53.9,2210RL_002,2,6,34.14325333,-119.4080033,,
002_Win_6_10m_03-3,0,0,0,0,3,18,3,202210,20221013,DL,1,RREAS,2,CTD,1,10,1500,1400 - 2000,81.2 53.9,2210RL_002,2,6,34.14325333,-119.4080033,,
003_GEM_1_260m,0,0,0,0,1,35,1,202210,20221014,DL,1,GEMCAP,1,CTD,1,260,1000,800 - 1000,82.7 46.1,2210RL_003,3,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_1_260m-1,0,0,0,0,1,35,2,202210,20221014,DL,1,GEMCAP,1,CTD,1,260,1000,800 - 1000,82.7 46.1,2210RL_003,3,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_1_260m-2,0,0,0,0,1,35,3,202210,20221014,DL,1,GEMCAP,1,CTD,1,260,1000,800 - 1000,82.7 46.1,2210RL_003,3,1,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
003_GEM_2_170m,0,0,0,0,1,34,1,202210,20221014,DL,1,GEMCAP,1,CTD,1,170,1000,800 - 1000,82.7 46.1,2210RL_003,3,2,34.138455,-118.124075,pod of 100 common dolphins on station at the surface,
