sample-id,mm_detect,Bio-rep,unique_biorep,uniqiue_biorep_numeric,Tech-rep,Pool,Cruise,Date_YYYYMMDD,Collection_method,Collection_method_numeric,Collection_device,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,depth_m_ZG,bottle,volume_L_ZG,latitude,longitude,Ecological Notes,Processing Notes
002_GEM_5_10m-2,0,1,2210RL_00210GEMCAP1,15,3,BAE01,202210,20221013,GEMCAP,1,CTD,10,900,800 - 1000,81.2 53.9,2210RL_002,2,10,5,0.9,34.14325333,-119.4080033,,
002_Win_2_90m_01,0,1,2210RL_00290RREAS1,24,1,BAE02,202210,20221013,RREAS,2,CTD,90,2000,1400 - 2000,81.2 53.9,2210RL_002,2,90,2,2,34.14325333,-119.4080033,,
002_Win_2_90m_01-1,1,1,2210RL_00290RREAS1,24,2,BAE01,202210,20221013,RREAS,2,CTD,90,2000,1400 - 2000,81.2 53.9,2210RL_002,2,90,2,2,34.14325333,-119.4080033,,
002_Win_2_90m_01-2,0,1,2210RL_00290RREAS1,24,3,BAE01,202210,20221013,RREAS,2,CTD,90,2000,1400 - 2000,81.2 53.9,2210RL_002,2,90,2,2,34.14325333,-119.4080033,,
002_Win_2_90m_03,0,2,2210RL_00290RREAS2,25,1,BAE01,202210,20221013,RREAS,2,CTD,90,1800,1400 - 2000,81.2 53.9,2210RL_002,2,90,2,1.8,34.14325333,-119.4080033,,
002_Win_2_90m_03-2,0,2,2210RL_00290RREAS2,25,2,BAE02,202210,20221013,RREAS,2,CTD,90,1800,1400 - 2000,81.2 53.9,2210RL_002,2,90,2,1.8,34.14325333,-119.4080033,,
002_Win_2_90m_03-3,0,2,2210RL_00290RREAS2,25,3,BAE02,202210,20221013,RREAS,2,CTD,90,1800,1400 - 2000,81.2 53.9,2210RL_002,2,90,2,1.8,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_01,0,1,2210RL_00230RREAS1,20,1,BAE02,202210,20221013,RREAS,2,CTD,30,2000,1400 - 2000,81.2 53.9,2210RL_002,2,30,4,2,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_01-1,0,1,2210RL_00230RREAS1,20,2,BAE01,202210,20221013,RREAS,2,CTD,30,2000,1400 - 2000,81.2 53.9,2210RL_002,2,30,4,2,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_01-2,0,1,2210RL_00230RREAS1,20,3,BAE01,202210,20221013,RREAS,2,CTD,30,2000,1400 - 2000,81.2 53.9,2210RL_002,2,30,4,2,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_02,0,2,2210RL_00230RREAS2,21,1,BAE01,202210,20221013,RREAS,2,CTD,30,2000,1400 - 2000,81.2 53.9,2210RL_002,2,30,4,2,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_02-2,0,2,2210RL_00230RREAS2,21,2,BAE02,202210,20221013,RREAS,2,CTD,30,2000,1400 - 2000,81.2 53.9,2210RL_002,2,30,4,2,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_02-3,0,2,2210RL_00230RREAS2,21,3,BAE02,202210,20221013,RREAS,2,CTD,30,2000,1400 - 2000,81.2 53.9,2210RL_002,2,30,4,2,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_03,0,3,2210RL_00230RREAS3,22,1,BAE01,202210,20221013,RREAS,2,CTD,30,1400,1400 - 2000,81.2 53.9,2210RL_002,2,30,4,1.4,34.14325333,-119.4080033,,
002_Win_4_Chlamax_30m_03-2,0,3,2210RL_00230RREAS3,22,2,BAE02,202210,20221013,RREAS,2,CTD,30,1400,1400 - 2000,81.2 53.9,2210RL_002,2,30,4,1.4,34.14325333,-119.4080033,,
