sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinus_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Pool,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,Ecological Notes,Processing Notes
014_Win_8_10m_01-1,0,0,0,0,1,164,2,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 63.6,2210RL_014,14,8,35.7642,-121.3789217,,
014_Win_8_10m_01-2,0,0,0,0,1,164,3,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 63.6,2210RL_014,14,8,35.7642,-121.3789217,,
014_Win_8_10m_02,0,0,0,0,2,165,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 63.6,2210RL_014,14,8,35.7642,-121.3789217,,
014_Win_8_10m_02-2,0,0,0,0,2,165,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 63.6,2210RL_014,14,8,35.7642,-121.3789217,,
014_Win_8_10m_02-3,0,0,0,0,2,165,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 63.6,2210RL_014,14,8,35.7642,-121.3789217,,
014_Win_8_10m_03,1,0,1,38429,3,166,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 63.6,2210RL_014,14,8,35.7642,-121.3789217,,
014_Win_8_10m_03-2,0,0,0,0,3,166,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 63.6,2210RL_014,14,8,35.7642,-121.3789217,,
014_Win_8_10m_03-3,0,0,0,0,3,166,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,10,2000,1400 - 2000,70.0 63.6,2210RL_014,14,8,35.7642,-121.3789217,,
014_GEM_5_Chlamax_46m,0,0,0,0,1,168,1,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,46,1000,800 - 1000,70.0 63.6,2210RL_014,14,5,35.7642,-121.3789217,,
014_GEM_5_Chlamax_46m-1,0,0,0,0,1,168,2,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,46,1000,800 - 1000,70.0 63.6,2210RL_014,14,5,35.7642,-121.3789217,,
014_GEM_5_Chlamax_46m-2,0,0,0,0,1,168,3,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,46,1000,800 - 1000,70.0 63.6,2210RL_014,14,5,35.7642,-121.3789217,,
014_Win_6_Chlamax_46m_01,0,0,0,0,1,169,1,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 63.6,2210RL_014,14,6,35.7642,-121.3789217,,
014_Win_6_Chlamax_46m_01-1,0,0,0,0,1,169,2,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 63.6,2210RL_014,14,6,35.7642,-121.3789217,,
014_Win_6_Chlamax_46m_01-2,0,0,0,0,1,169,3,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 63.6,2210RL_014,14,6,35.7642,-121.3789217,,
014_Win_6_Chlamax_46m_02,0,0,0,0,2,170,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 63.6,2210RL_014,14,6,35.7642,-121.3789217,,
014_Win_6_Chlamax_46m_02-2,0,0,0,0,2,170,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 63.6,2210RL_014,14,6,35.7642,-121.3789217,,
014_Win_6_Chlamax_46m_02-3,0,0,0,0,2,170,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,46,2000,1400 - 2000,70.0 63.6,2210RL_014,14,6,35.7642,-121.3789217,,
014_Win_6_Chlamax_46m_03,0,0,0,0,3,171,1,BAE01,202210,20221017,DL,1,RREAS,2,CTD,1,46,1400,1400 - 2000,70.0 63.6,2210RL_014,14,6,35.7642,-121.3789217,,
014_Win_6_Chlamax_46m_03-2,0,0,0,0,3,171,2,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,46,1400,1400 - 2000,70.0 63.6,2210RL_014,14,6,35.7642,-121.3789217,,
014_Win_6_Chlamax_46m_03-3,0,0,0,0,3,171,3,BAE02,202210,20221017,DL,1,RREAS,2,CTD,1,46,1400,1400 - 2000,70.0 63.6,2210RL_014,14,6,35.7642,-121.3789217,,
014_GEM_3_100m,0,0,0,0,1,159,1,BAE02,202210,20221017,DL,1,GEMCAP,1,CTD,1,100,1000,800 - 1000,70.0 63.6,2210RL_014,14,3,35.7642,-121.3789217,,
014_GEM_3_100m-1,0,0,0,0,1,159,2,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,100,1000,800 - 1000,70.0 63.6,2210RL_014,14,3,35.7642,-121.3789217,,
014_GEM_3_100m-2,0,0,0,0,1,159,3,BAE01,202210,20221017,DL,1,GEMCAP,1,CTD,1,100,1000,800 - 1000,70.0 63.6,2210RL_014,14,3,35.7642,-121.3789217,,
