sample-id,delphinidae_all,other_mm_all,mm_any_all,delphinidae_tot_reads,Bio-rep,unique_biorep_numeric,Tech-rep,Cruise,Date_YYYYMMDD,Primer,Primer_numeric,Collection_method,Collection_method_numeric,Collection_device,Collection_device_numeric,Depth_m,Volume_filt_mL,Vol_filt_grp_mL,station,site,site.numeric,bottle,latitude,longitude,input,filtered,denoisedF,denoisedR,merged,nonchim,length_filter
001_Win_15_10m_02-3,0.0,0.0,0.0,0.0,2.0,7.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,15.0,34.03382833,-120.9436683,22795,20591,21403,21315,9988,9938,3520
001_Win_15_10m_03,0.0,0.0,0.0,0.0,3.0,8.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,15.0,34.03382833,-120.9436683,19032,16807,29922,29888,12624,12623,927
001_Win_15_10m_03-2,0.0,0.0,0.0,0.0,3.0,8.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,15.0,34.03382833,-120.9436683,23558,19658,22002,21775,4364,4364,72
001_Win_15_10m_03-3,0.0,0.0,0.0,0.0,3.0,8.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,10.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,15.0,34.03382833,-120.9436683,409509,381399,390218,390870,248746,248657,175280
001_Win_7_100m_01,0.0,0.0,0.0,0.0,1.0,2.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,100.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,7.0,34.03382833,-120.9436683,450308,399893,438042,436645,387755,381706,131478
001_Win_7_100m_01-1,0.0,0.0,0.0,0.0,1.0,2.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,100.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,7.0,34.03382833,-120.9436683,653577,587133,730092,729713,641572,639714,367569
001_Win_7_100m_01-2,0.0,0.0,0.0,0.0,1.0,2.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,100.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,7.0,34.03382833,-120.9436683,1173246,1025264,1063499,1062672,975481,966035,548468
001_Win_7_100m_02,0.0,0.0,0.0,0.0,2.0,3.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,100.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,7.0,34.03382833,-120.9436683,81577,71463,154199,153769,82092,82092,40498
001_Win_7_100m_02-2,0.0,0.0,0.0,0.0,2.0,3.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,100.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,7.0,34.03382833,-120.9436683,527681,473390,527776,527669,421654,417586,252690
001_Win_7_100m_02-3,0.0,0.0,0.0,0.0,2.0,3.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,100.0,2000.0,1400 - 2000,80.7 59.9,2210RL_001,1.0,7.0,34.03382833,-120.9436683,15182,13756,22171,22038,14301,14296,9371
001_Win_7_100m_03,0.0,0.0,0.0,0.0,3.0,4.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,100.0,800.0,800 - 1000,80.7 59.9,2210RL_001,1.0,7.0,34.03382833,-120.9436683,177361,138549,153331,153219,34828,34731,10100
001_Win_7_100m_03-2,0.0,0.0,0.0,0.0,3.0,4.0,2.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,100.0,800.0,800 - 1000,80.7 59.9,2210RL_001,1.0,7.0,34.03382833,-120.9436683,154734,107453,115558,115745,43256,42860,13999
001_Win_7_100m_03-3,0.0,0.0,0.0,0.0,3.0,4.0,3.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,100.0,800.0,800 - 1000,80.7 59.9,2210RL_001,1.0,7.0,34.03382833,-120.9436683,240503,199102,211010,210975,58077,57971,34392
002_GEM_1_90m,0.0,0.0,0.0,0.0,1.0,23.0,1.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,90.0,1000.0,800 - 1000,81.2 53.9,2210RL_002,2.0,1.0,34.14325333,-119.4080033,526431,465465,542239,541518,430285,406774,199199
002_GEM_1_90m-1,0.0,0.0,0.0,0.0,1.0,23.0,2.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,90.0,1000.0,800 - 1000,81.2 53.9,2210RL_002,2.0,1.0,34.14325333,-119.4080033,15699,13804,17705,17477,11815,11541,5502
002_GEM_1_90m-2,0.0,0.0,0.0,0.0,1.0,23.0,3.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,90.0,1000.0,800 - 1000,81.2 53.9,2210RL_002,2.0,1.0,34.14325333,-119.4080033,1129188,991553,1115357,1116713,810997,780587,189846
002_GEM_3_Chlamax_30m,0.0,0.0,0.0,0.0,1.0,19.0,1.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,30.0,1000.0,800 - 1000,81.2 53.9,2210RL_002,2.0,3.0,34.14325333,-119.4080033,211570,178514,197312,196724,150554,145555,31279
002_GEM_3_Chlamax_30m-1,0.0,0.0,0.0,0.0,1.0,19.0,2.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,30.0,1000.0,800 - 1000,81.2 53.9,2210RL_002,2.0,3.0,34.14325333,-119.4080033,119715,94788,98732,98360,68073,67582,17592
002_GEM_3_Chlamax_30m-2,0.0,0.0,0.0,0.0,1.0,19.0,3.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,30.0,1000.0,800 - 1000,81.2 53.9,2210RL_002,2.0,3.0,34.14325333,-119.4080033,940124,841398,893803,893509,551245,531312,105854
002_GEM_5_10m,0.0,0.0,0.0,0.0,1.0,15.0,1.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,10.0,900.0,800 - 1000,81.2 53.9,2210RL_002,2.0,5.0,34.14325333,-119.4080033,457685,397876,430238,430153,233952,229178,50126
002_GEM_5_10m-1,0.0,0.0,0.0,0.0,1.0,15.0,2.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,10.0,900.0,800 - 1000,81.2 53.9,2210RL_002,2.0,5.0,34.14325333,-119.4080033,448513,397900,415307,416618,158655,158056,46024
002_GEM_5_10m-2,0.0,0.0,0.0,0.0,1.0,15.0,3.0,202210.0,20221013.0,DL,1.0,GEMCAP,1.0,CTD,1.0,10.0,900.0,800 - 1000,81.2 53.9,2210RL_002,2.0,5.0,34.14325333,-119.4080033,1048772,950284,1037306,1036514,809191,797840,205451
002_Win_2_90m_01,0.0,0.0,0.0,0.0,1.0,24.0,1.0,202210.0,20221013.0,DL,1.0,RREAS,2.0,CTD,1.0,90.0,2000.0,1400 - 2000,81.2 53.9,2210RL_002,2.0,2.0,34.14325333,-119.4080033,338770,297757,426716,424888,249970,236259,97990
